day,number_followers,impressions,profile_views,profile_reach
2023-08-19,0,2168.0,29.0,1284.0
2023-08-18,7,3433.0,36.0,2130.0
2023-08-17,3,715.0,16.0,453.0
2023-08-16,7,838.0,18.0,727.0
2023-08-15,3,1697.0,29.0,1376.0
2023-08-14,6,4917.0,46.0,4025.0
2023-08-13,3,1766.0,16.0,1264.0
2023-08-12,8,1216.0,31.0,1071.0
2023-08-11,3,1262.0,26.0,1014.0
2023-08-10,2,984.0,15.0,714.0
2023-08-09,4,1457.0,16.0,1177.0
2023-08-08,1,4072.0,20.0,3834.0
2023-08-07,4,1256.0,19.0,1143.0
2023-08-06,7,1220.0,20.0,961.0
2023-08-05,4,2621.0,32.0,1744.0
2023-08-04,5,3264.0,27.0,2772.0
2023-08-03,4,779.0,21.0,601.0
2023-08-02,9,1156.0,26.0,912.0
2023-08-01,7,2944.0,32.0,1550.0
2023-07-31,12,3571.0,32.0,2507.0
2023-07-30,8,6206.0,44.0,4588.0
2023-07-29,1,1169.0,15.0,1115.0
2023-07-28,5,1435.0,24.0,1088.0
2023-07-27,2,1281.0,19.0,1133.0
2023-07-26,6,2028.0,20.0,1608.0
2023-07-25,8,2036.0,34.0,1835.0
2023-07-24,4,1324.0,18.0,1216.0
2023-07-23,4,2295.0,41.0,1787.0
2023-07-22,10,1741.0,31.0,1380.0
2023-07-21,7,1927.0,23.0,1842.0
2023-07-20,12,12546.0,34.0,12398.0
2023-07-19,15,10565.0,51.0,9329.0
2023-07-18,7,2675.0,36.0,1639.0
2023-07-17,7,2185.0,31.0,1693.0
2023-07-16,10,1638.0,38.0,1335.0
2023-07-15,8,2691.0,53.0,2055.0
2023-07-14,7,5529.0,48.0,4203.0
2023-07-13,8,3438.0,47.0,2464.0
2023-07-05,13,3914.0,53.0,3304.0
2023-07-04,24,5530.0,59.0,4913.0
2023-07-03,35,8519.0,83.0,7287.0
2023-07-02,44,8905.0,94.0,7778.0
2023-07-01,40,10101.0,109.0,8524.0
2023-06-30,41,8869.0,98.0,6610.0
2023-06-29,28,10229.0,110.0,8498.0
2023-06-28,26,6527.0,54.0,5882.0
2023-06-27,32,7863.0,85.0,6931.0
2023-06-26,31,8087.0,87.0,6872.0
2023-06-25,36,15997.0,93.0,13785.0
2023-06-24,31,11556.0,78.0,9215.0
2023-06-23,30,9440.0,84.0,8599.0
2023-06-22,22,9047.0,86.0,7670.0
2023-06-21,34,8234.0,85.0,7363.0
2023-06-20,51,15184.0,123.0,11620.0
2023-06-19,60,13841.0,113.0,12040.0
2023-06-18,53,13097.0,143.0,10357.0
2023-06-17,37,9425.0,103.0,7093.0
2023-06-16,38,11619.0,103.0,8708.0
2023-06-15,27,10511.0,117.0,7997.0
2023-06-14,21,8460.0,107.0,6859.0
2023-06-13,15,6289.0,92.0,4588.0
2023-06-12,20,7367.0,76.0,5887.0
2023-06-11,20,6197.0,97.0,4785.0
2023-06-10,42,7977.0,127.0,6462.0
2023-06-09,17,4702.0,97.0,3739.0
2023-06-08,27,7183.0,116.0,5620.0
2023-06-07,21,6345.0,100.0,4935.0
2023-06-06,31,6659.0,82.0,5146.0
2023-06-05,37,8792.0,108.0,6480.0
2023-06-04,21,5985.0,77.0,4173.0
2023-06-03,18,6182.0,78.0,3913.0
2023-06-02,12,3554.0,59.0,2127.0
2023-06-01,6,2743.0,39.0,1982.0
2023-05-31,8,5750.0,41.0,4443.0
2023-05-30,8,4227.0,55.0,2228.0
2023-05-29,5,4428.0,82.0,3090.0
2023-05-28,19,7615.0,113.0,5625.0
2023-05-27,17,5154.0,61.0,4196.0
2023-05-26,20,10422.0,81.0,8796.0
2023-05-25,20,8692.0,92.0,7517.0
2023-05-24,8,7254.0,57.0,4714.0
2023-05-23,12,6546.0,88.0,3145.0
2023-05-22,12,10514.0,69.0,8662.0
2023-05-21,16,11643.0,147.0,8654.0
2023-05-20,5,5323.0,47.0,3259.0
2023-05-19,4,6876.0,65.0,4946.0
2023-05-18,5,4115.0,55.0,2474.0
2023-05-17,8,3978.0,59.0,2696.0
2023-05-16,6,5819.0,86.0,3690.0
2023-05-15,19,9183.0,146.0,4299.0
2023-05-14,17,15554.0,198.0,9354.0
2023-05-13,11,10231.0,172.0,6966.0
2023-05-12,14,9145.0,200.0,6613.0
2023-05-11,18,10590.0,215.0,7643.0
2023-05-10,12,14456.0,233.0,10872.0
2023-05-09,16,9919.0,254.0,6795.0
2023-05-08,29,11294.0,273.0,7545.0
2023-05-07,8,10496.0,165.0,7771.0
2023-05-06,13,14526.0,127.0,11678.0
2023-05-05,19,14483.0,124.0,11981.0
2023-04-18,15,8236.0,74.0,6553.0
2023-04-17,6,8263.0,84.0,6486.0
2023-04-16,12,20694.0,170.0,16692.0
2023-04-15,2,1770.0,46.0,1006.0
2023-04-14,6,2525.0,54.0,1043.0
2023-04-13,5,2154.0,47.0,1370.0
2023-04-12,9,2807.0,64.0,1648.0
2023-04-11,7,1352.0,42.0,846.0
2023-04-10,7,1358.0,34.0,886.0
2023-04-09,6,1584.0,27.0,1193.0
